Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
